1,2016-02-19,20:51:27,2016-02-19,20:59:20,1,0.9,-74.00244904,40.74440384,1,N,-74.00243378,40.7339859,1,6.5,0.5,0.5,1.55,0,0.3,9.35
1,2016-02-19,20:51:27,2016-02-19,21:05:44,3,1.7,-73.98445892,40.74570465,1,N,-74.00537872,40.74027252,1,10,0.5,0.5,1.5,0,0.3,12.8
1,2016-02-19,20:51:28,2016-02-19,20:57:11,3,0.7,-74.00388336,40.73800659,1,N,-73.99700928,40.74725723,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2016-02-19,20:51:28,2016-02-19,21:01:47,1,1.1,-73.9821701,40.74546051,1,N,-73.98854828,40.73163223,1,8,0.5,0.5,1.86,0,0.3,11.16
1,2016-02-19,20:51:28,2016-02-19,20:59:38,1,1,-73.99807739,40.72389984,1,N,-74.0054245,40.73385239,1,7,0.5,0.5,1.66,0,0.3,9.96
1,2016-02-19,20:51:28,2016-02-19,21:02:31,1,0.8,-73.98088074,40.74269485,1,N,-73.99391174,40.74576187,1,8,0.5,0.5,1.85,0,0.3,11.15
1,2016-02-19,20:51:28,2016-02-19,20:57:54,1,1.1,-73.95914459,40.77459335,1,N,-73.9549408,40.76391602,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2016-02-19,20:51:28,2016-02-19,20:54:02,2,1.03,-73.9631424,40.77780151,1,N,-73.97303772,40.76422119,2,5,0.5,0.5,0,0,0.3,6.3
2,2016-02-19,20:51:28,2016-02-19,21:05:18,2,1.93,-73.97743225,40.7519722,1,N,-74.00461578,40.75220871,1,10.5,0.5,0.5,1.77,0,0.3,13.57
2,2016-02-19,20:51:28,2016-02-19,21:00:35,3,1.58,-73.99159241,40.72082138,1,N,-73.99739838,40.73651886,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2016-02-19,20:51:28,2016-02-19,21:01:41,1,2.74,-74.00799561,40.74316788,1,N,-73.9824295,40.77198029,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2016-02-19,20:51:28,2016-02-19,21:10:21,1,3.01,-73.97846985,40.78815079,1,N,-73.98493958,40.75645065,1,14.5,0.5,0.5,3.16,0,0.3,18.96
